name	assoc	True	Mostly-True	Half-True	Mostly-False	False	Pants-on-Fire	
d	d	c	c	c	c	c	c	
	class
Weston Wamp	Republican	1	0	0	0	0	0	
Bob Beckel	Democrat	0	0	1	0	0	0	
NJ-CAN	Democrat	0	0	1	0	0	0	
Rhode Island Retirement Security Coalition	Organization	0	0	0	1	0	0	
John Birch Society	undef	0	0	1	0	0	0	
Democracy for America	undef	0	0	0	0	0	0	
Theresa Price	Activist	0	0	0	0	1	0	
Elliott Naishtat	Democrat	1	0	1	0	0	0	
Iowans for Some Semblance of Christian Decency	None	0	0	0	0	1	0	
Carla Smith	undef	1	0	0	0	0	0	
Patrick Leahy	Democrat	0	0	1	0	0	0	
Pat Carlson	Republican	1	0	0	0	0	0	
Dave Obey	Democrat	0	0	1	0	0	0	
Dwayne Bohac	Republican	0	0	0	0	1	0	
Brian Kemp	Republican	2	0	0	0	1	0	
ACLU of Florida	None	0	1	0	0	0	0	
John Duncan	Republican	0	0	0	0	1	0	
Joe Negron	Republican	0	1	0	0	0	0	
David Wu	Democrat	0	1	0	0	0	0	
Julian Assange	undef	0	0	1	0	0	0	
Raging Elephants	Republican	0	0	0	0	1	0	
Chris Christie	Republican	9	5	9	5	5	3	
Anonymous Flier	undef	0	0	0	0	1	0	
Judson Phillips	undef	0	0	1	0	0	0	
Jefferson Smith	Democrat	1	3	0	1	1	0	
Bill Bennett	None	0	1	0	0	0	0	
Democratic Party of Oregon	Democrat	0	0	0	1	1	0	
Frank Ortis	Democrat	0	0	0	1	0	0	
Michael Sullivan	Republican	1	0	3	0	0	0	
Barry Hinckley	Republican	1	1	1	0	3	0	
Critics of water fluoridation	None	0	0	0	0	0	1	
PlantsNeedCO2.org	undef	0	0	0	0	1	0	
David Dooley	State	1	0	0	0	0	0	
Ron Wyden	Democrat	2	2	0	0	1	0	
Freedom PAC	Republican	0	0	1	0	0	0	
John Tassoni Jr.	Democrat	0	0	0	0	0	1	
Campaign to Defend America	None	1	2	0	0	1	0	
Michelle  Malkin	None	1	0	1	0	1	0	
AmeriPAC	undef	0	0	1	1	0	1	
Michael Schrunk	State	0	1	0	0	0	0	
Bill Fischer	Newsmaker	0	0	0	1	0	0	
Occupied Wall Street Journal	None	0	0	1	0	0	0	
Esquire magazine	undef	1	0	0	0	0	0	
Marion Hammer	None	0	1	0	0	0	0	
Yes on 8	None	0	1	0	0	0	0	
True The Vote	None	0	0	0	0	0	1	
John Loughlin	Republican	0	0	0	1	2	1	
Herman Cain	Republican	0	3	4	3	10	3	
Allen Boyd	Democrat	0	1	0	0	1	0	
Mark Butler	undef	0	0	1	0	0	0	
Gail Buckner	Democrat	1	0	0	0	0	0	
Bill  Kristol	None	0	2	0	0	0	0	
Democratic Senatorial Campaign Committee	undef	1	0	0	0	0	0	
Florida Hometown Democracy	None	0	0	1	0	0	0	
Jeff Cogen	None	0	0	1	0	0	0	
Renewable Fuels Association	None	0	0	0	1	0	0	
Louise Slaughter	Democrat	0	0	0	1	0	0	
Glenn Grothman	Republican	1	0	0	0	2	0	
Oregon Republican Party	undef	0	0	0	0	1	0	
Jim Webb	Democrat	1	0	0	1	0	0	
New Jersey Republican State Committee	Republican	0	0	0	0	1	1	
Russ Carnahan	Democrat	0	0	0	0	1	0	
Ted Strickland	Democrat	1	2	2	0	3	1	
Sam Adams	Democrat	1	1	4	2	1	0	
Michelle Litjens	Republican	1	0	0	0	0	0	
Richard Lugar	Republican	0	1	0	0	0	0	
Wisconsin Professional Police Association	None	0	1	0	0	0	0	
Frank Lasee	undef	0	0	0	0	1	0	
Robert Barber	Newsmaker	0	0	0	0	1	0	
Florida Education Association	None	0	0	0	0	2	0	
Julie Lassa	Democrat	0	0	1	1	0	0	
Vin  Gopal	Democrat	0	0	0	0	0	0	
Amanda  Fritz	undef	0	1	0	1	1	0	
Kasim Reed	undef	0	2	2	1	0	0	
Andrew Napolitano	undef	0	0	1	0	0	1	
Don Zimmerman	Republican	0	0	0	1	0	0	
One Wisconsin Now	None	2	1	1	0	1	1	
60 Plus Association	undef	0	0	0	1	0	1	
Rick Lazio	undef	0	0	0	1	0	0	
James Langevin	Democrat	0	0	1	1	1	0	
Haley Barbour	Republican	0	0	0	1	1	0	
Jennifer Granholm	Democrat	0	1	0	0	0	0	
Jim Weidner	Republican	0	0	0	0	0	0	
